t_s,phase,frame,adapt_on,drift,drift_frac,err_masked_deg,err_leg_deg,err_all_deg,act_dev_max,dev_clamped,loop_ms
2.6402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.27
2.6602,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.77
2.6811,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.06
2.7011,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.45
2.7211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.02
2.7412,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.89
2.7608,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.78
2.7811,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.45
2.8012,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,14.16
2.8211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.70
2.8410,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.22
2.8610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.08
2.8809,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.18
2.9010,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.59
2.9209,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.96
2.9415,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.85
2.9609,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.62
2.9811,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.28
3.0007,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.32
3.0210,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.49
3.0412,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.33
3.0607,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.98
3.0801,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,12.18
3.1001,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,14.02
3.1211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.78
3.1410,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.04
3.1612,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.02
3.1808,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.89
3.2010,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,11.34
3.2211,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,8.07
3.2412,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.08
3.2611,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.89
3.2811,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.68
3.3008,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.32
3.3209,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.24
3.3402,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.66
3.3610,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.01
3.3810,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.04
3.4012,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.49
3.4208,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.30
3.4410,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,10.24
3.4612,ramp,0,0,0.000000,0.000000,nan,nan,nan,0.0000,0,9.26
